capability,kylin11:micro,kylin11:base,kylin11:devel,kylin10:micro,kylin10:base,kylin10:devel,uos25:micro,uos25:base,uos25:devel,kylinsec6:micro,kylinsec6:base,kylinsec6:devel,linx6:micro,linx6:base,linx6:devel
git,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
glibc,2.38-1ok6.9k,2.38-1ok6.9k,2.38-1ok6.9k,2.31-0kylin9,2.31-0kylin9,2.31-0kylin9,2.38-6deepin,2.38-6deepin,2.38-6deepin,2.38,2.38,2.38,2.28-10-linx,2.28-10-linx,2.28-10-linx
gzip,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
ip_tools,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y
libc_headers,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,Y
locale_zh,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
localtime,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
lsof,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y
make,N,N,Y,N,N,Y,N,N,Y,N,N,Y,N,N,Y
make_build,N,N,Y,N,N,Y,N,N,Y,N,N,Y,N,N,Y
nsswitch,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
openssl,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y
os_id,kylin-v11,kylin-v11,kylin-v11,kylin-v10,kylin-v10,kylin-v10,uos-25,uos-25,uos-25,kylinsecos-6,kylinsecos-6,kylinsecos-6,Linx-10,Linx-10,Linx-10
pager,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
perl,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,Y,Y,Y
ping,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y
pkg_check,n/a,Y,Y,n/a,Y,Y,n/a,Y,Y,n/a,Y,Y,n/a,Y,Y
pkg_keyring,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y
pkg_local_install,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
pkg_roundtrip,n/a,Y,Y,n/a,Y,Y,n/a,N,N,n/a,Y,Y,n/a,nosrc,nosrc
pkg_sources,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N
pkg_update,n/a,Y,Y,n/a,Y,Y,n/a,Y,Y,n/a,Y,Y,n/a,nosrc,nosrc
pkgconfig,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,N
pkgdb_count,71,206,255,154,221,263,67,164,208,112,165,194,176,211,249
pkgdb_query,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
pkgmgr,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y
pkgmgr_name,none,apt-get,apt-get,none,apt-get,apt-get,none,apt-get,apt-get,none,dnf,dnf,none,apt-get,apt-get
pkgsys,deb,deb,deb,deb,deb,deb,deb,deb,deb,rpm,rpm,rpm,deb,deb,deb
policy_rcd,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
probe_complete,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
probe_sha,b7048929c0fd,b7048929c0fd,b7048929c0fd,b7048929c0fd,b7048929c0fd,b7048929c0fd,b7048929c0fd,b7048929c0fd,b7048929c0fd,b7048929c0fd,b7048929c0fd,b7048929c0fd,b7048929c0fd,b7048929c0fd,b7048929c0fd
ps,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y
python3,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y
python3_dev,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
python3_run,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y
python3_ssl,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y
setuid_bins,2,9,9,10,10,10,2,9,9,11,12,12,5,6,6
sh,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
shadow_files,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
signal_trap,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
sock_tools,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y
static_link,N,N,Y,N,N,Y,N,N,Y,N,N,Y,N,N,Y
strace,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
su_to_user,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N
sudo,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
systemd,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y
tar,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
textutils,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
tls,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
tmp_writable,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
top,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y
unzip,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y
useradd,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y
useradd_works,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y
var_writable,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
wget,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
xz,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y
zstd,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N
